L,H,window_id,model,ticker,val_origin_start,val_origin_end,RMSE,MAE,Directional_Accuracy
10,5,2,VAR,EWW,2021-06-10,2022-07-06,0.02986399468068407,0.02428703120651015,0.4666666666666667
10,5,2,VAR,EWZ,2021-06-10,2022-07-06,0.044844864471705256,0.035010416127504586,0.4666666666666667
10,5,2,VAR,GXG,2021-06-10,2022-07-06,0.04080175572995874,0.030389502010007084,0.5370370370370371
10,5,2,Ridge,ECH,2021-06-10,2022-07-06,0.04613619010698299,0.03766803287587239,0.5370370370370371
10,5,2,Ridge,EWW,2021-06-10,2022-07-06,0.030105091692396974,0.0241693135557431,0.5592592592592592
10,5,2,Ridge,EWZ,2021-06-10,2022-07-06,0.04560446440845309,0.034970600700761335,0.5111111111111111
10,5,2,Ridge,GXG,2021-06-10,2022-07-06,0.0404427324515031,0.02985815151207863,0.6074074074074074
10,5,2,MLP,ECH,2021-06-10,2022-07-06,0.07429152025958247,0.05933464875098944,0.5185185185185185
10,5,2,MLP,EWW,2021-06-10,2022-07-06,0.1014388576602048,0.07655686403271177,0.4888888888888889
10,5,2,MLP,EWZ,2021-06-10,2022-07-06,0.08459414114096775,0.06670220641277365,0.5074074074074074
10,5,2,MLP,GXG,2021-06-10,2022-07-06,0.07548109550843453,0.05761994446766931,0.4925925925925926
10,5,2,Random Forest,ECH,2021-06-10,2022-07-06,0.04650740361117831,0.03809030343671089,0.5296296296296297
10,5,2,Random Forest,EWW,2021-06-10,2022-07-06,0.02985071549540593,0.024104195433235526,0.5888888888888889
10,5,2,Random Forest,EWZ,2021-06-10,2022-07-06,0.044926945637177924,0.03516202241617409,0.46296296296296297
10,5,2,Random Forest,GXG,2021-06-10,2022-07-06,0.04215053023214664,0.03144688659651433,0.5074074074074074
10,5,2,Diffusion,ECH,2021-06-10,2022-07-06,0.04685094479133492,0.03806768852136878,0.5
10,5,2,Diffusion,EWW,2021-06-10,2022-07-06,0.031174935617730624,0.02477256845136251,0.5222222222222223
10,5,2,Diffusion,EWZ,2021-06-10,2022-07-06,0.04556578142621354,0.03552930172675038,0.44814814814814813
10,5,2,Diffusion,GXG,2021-06-10,2022-07-06,0.041507179107425,0.030681599793461876,0.5296296296296297
10,5,3,Random Walk,ECH,2022-03-04,2023-03-30,0.048101592452672204,0.0391505495571,0.0
10,5,3,Random Walk,EWW,2022-03-04,2023-03-30,0.03400154110250647,0.02760137168675293,0.0
10,5,3,Random Walk,EWZ,2022-03-04,2023-03-30,0.05247526561683387,0.04169900745813027,0.0
10,5,3,Random Walk,GXG,2022-03-04,2023-03-30,0.04761090870591449,0.038118453820155725,0.0
10,5,3,Historical Mean,ECH,2022-03-04,2023-03-30,0.04826697912452233,0.03914208477862873,0.4925925925925926
10,5,3,Historical Mean,EWW,2022-03-04,2023-03-30,0.034264143876482245,0.027703752313744518,0.4925925925925926
10,5,3,Historical Mean,EWZ,2022-03-04,2023-03-30,0.052835712744486604,0.041809352698927806,0.4703703703703704
10,5,3,Historical Mean,GXG,2022-03-04,2023-03-30,0.04745466653362559,0.03790940527915125,0.5814814814814815
10,5,3,AR Linear,ECH,2022-03-04,2023-03-30,0.0481521764857415,0.03917990822288682,0.4962962962962963
10,5,3,AR Linear,EWW,2022-03-04,2023-03-30,0.03408398834731311,0.02768169212337222,0.5222222222222223
10,5,3,AR Linear,EWZ,2022-03-04,2023-03-30,0.05275593886930759,0.04192999666182564,0.45555555555555555
10,5,3,AR Linear,GXG,2022-03-04,2023-03-30,0.04714547705917016,0.03791796062064327,0.5222222222222223
10,5,3,ARIMA,ECH,2022-03-04,2023-03-30,0.049608126032257394,0.04039468939201326,0.5222222222222223
10,5,3,ARIMA,EWW,2022-03-04,2023-03-30,0.03637412240619821,0.029004212709317176,0.5
10,5,3,ARIMA,EWZ,2022-03-04,2023-03-30,0.05322927192242219,0.042549722448261364,0.48518518518518516
10,5,3,ARIMA,GXG,2022-03-04,2023-03-30,0.04801944771756329,0.03836038921782948,0.5148148148148148
10,5,3,ARCH,ECH,2022-03-04,2023-03-30,0.04810909941763313,0.03916371491481683,0.46296296296296297
10,5,3,ARCH,EWW,2022-03-04,2023-03-30,0.03402997016771172,0.02763356493649178,0.42962962962962964
10,5,3,ARCH,EWZ,2022-03-04,2023-03-30,0.05254748773301952,0.04206036474571522,0.4888888888888889
10,5,3,ARCH,GXG,2022-03-04,2023-03-30,0.047355162584899545,0.03799041684349105,0.5296296296296297
10,5,3,GARCH,ECH,2022-03-04,2023-03-30,0.04813496347129764,0.0392032109879673,0.46296296296296297
10,5,3,GARCH,EWW,2022-03-04,2023-03-30,0.034131081504856726,0.027738299097412274,0.42962962962962964
10,5,3,GARCH,EWZ,2022-03-04,2023-03-30,0.054323376349812526,0.043888455587174746,0.4888888888888889
10,5,3,GARCH,GXG,2022-03-04,2023-03-30,0.04748849791879094,0.03816396910014665,0.5296296296296297
10,5,3,VAR,ECH,2022-03-04,2023-03-30,0.048185489870651715,0.03923533139803188,0.5
