L,H,window_id,model,val_origin_start,val_origin_end,n_train,n_val,RMSE,MAE,Directional_Accuracy
21,5,1,Historical Mean,2020-09-22,2021-10-13,1415,268,0.03690327328449132,0.028414370133572776,0.5643656716417911
21,5,1,AR Linear,2020-09-22,2021-10-13,1415,268,0.03739757588790205,0.0288166448152864,0.5065298507462687
21,5,1,Ridge,2020-09-22,2021-10-13,1415,268,0.037565413250103985,0.028549161454557166,0.5447761194029851
21,5,1,MLP,2020-09-22,2021-10-13,1415,268,0.17750848610468148,0.13376513756022837,0.4944029850746269
21,5,1,Random Forest,2020-09-22,2021-10-13,1415,268,0.03743563847039256,0.028918096733457896,0.47574626865671643
21,5,1,Diffusion,2020-09-22,2021-10-13,1415,268,0.2928816885768152,0.23347907625346037,0.503731343283582
21,5,2,Random Walk,2021-06-16,2022-07-08,1599,268,0.0410727474997467,0.031886441905036866,0.0
21,5,2,Historical Mean,2021-06-16,2022-07-08,1599,268,0.04153784398210362,0.032052168290241274,0.4916044776119403
21,5,2,AR Linear,2021-06-16,2022-07-08,1599,268,0.04099993821384607,0.03182562077348034,0.5214552238805971
21,5,2,Ridge,2021-06-16,2022-07-08,1599,268,0.04211291153191859,0.03228229191502204,0.5102611940298507
21,5,2,MLP,2021-06-16,2022-07-08,1599,268,0.1819231876777079,0.13952835404052727,0.4841417910447761
21,5,2,Random Forest,2021-06-16,2022-07-08,1599,268,0.04190033303934053,0.0326333852409039,0.43843283582089554
21,5,2,Diffusion,2021-06-16,2022-07-08,1599,268,0.3349484820567175,0.2679822183339172,0.48880597014925375
21,5,3,Random Walk,2022-03-09,2023-03-31,1783,268,0.046252610208457806,0.036889265412258176,0.0
21,5,3,Historical Mean,2022-03-09,2023-03-31,1783,268,0.046935280066507996,0.037264871892017964,0.46361940298507465
21,5,3,AR Linear,2022-03-09,2023-03-31,1783,268,0.04623585706143181,0.0369085389057458,0.5083955223880597
21,5,3,Ridge,2022-03-09,2023-03-31,1783,268,0.04838969424194354,0.03869822131980388,0.44216417910447764
21,5,3,MLP,2022-03-09,2023-03-31,1783,268,0.1397460765167912,0.10826921979033641,0.48600746268656714
21,5,3,Random Forest,2022-03-09,2023-03-31,1783,268,0.04664497502366179,0.037281206085801065,0.4701492537313433
21,5,3,Diffusion,2022-03-09,2023-03-31,1783,268,0.26614353214686787,0.2095251758837491,0.49720149253731344
21,5,4,Random Walk,2022-11-30,2023-12-22,1967,268,0.03525272691464307,0.02808630398518543,0.0
21,5,4,Historical Mean,2022-11-30,2023-12-22,1967,268,0.035524968215802186,0.028200848202980643,0.5158582089552238
21,5,4,AR Linear,2022-11-30,2023-12-22,1967,268,0.03534941921652366,0.02814729653124421,0.47947761194029853
21,5,4,Ridge,2022-11-30,2023-12-22,1967,268,0.03626271745815514,0.029035447820400073,0.48973880597014924
21,5,4,MLP,2022-11-30,2023-12-22,1967,268,0.12136926820992566,0.08744255840569268,0.5251865671641791
21,5,4,Random Forest,2022-11-30,2023-12-22,1967,268,0.03555243192409347,0.02844464631343143,0.46921641791044777
21,5,4,Diffusion,2022-11-30,2023-12-22,1967,268,0.25282136857612514,0.1998074970758823,0.503731343283582
42,1,0,Random Walk,2020-01-10,2021-01-29,1222,266,0.03167953222265537,0.020289182307309108,0.006578947368421052
42,1,0,Historical Mean,2020-01-10,2021-01-29,1222,266,0.03195272018187406,0.02065466372386208,0.5140977443609023
42,1,0,AR Linear,2020-01-10,2021-01-29,1222,266,0.031916163083877666,0.020564140379601248,0.49906015037593987
42,1,0,Ridge,2020-01-10,2021-01-29,1222,266,0.03216639778927658,0.020763900701485823,0.5272556390977443
42,1,0,MLP,2020-01-10,2021-01-29,1222,266,0.7433440193459144,0.5153452084430332,0.5150375939849624
42,1,0,Random Forest,2020-01-10,2021-01-29,1222,266,0.031953390258731194,0.020340962247291008,0.5
42,1,0,Diffusion,2020-01-10,2021-01-29,1222,266,0.6205536718237046,0.49890980426766296,0.4906015037593985
42,1,1,Random Walk,2020-10-01,2021-10-20,1405,266,0.016582128978260162,0.012382940501044215,0.007518796992481203
42,1,1,Historical Mean,2020-10-01,2021-10-20,1405,266,0.01673871227243744,0.012489805206440866,0.5216165413533834
42,1,1,AR Linear,2020-10-01,2021-10-20,1405,266,0.016557814884814444,0.012293151642890915,0.5479323308270677
42,1,1,Ridge,2020-10-01,2021-10-20,1405,266,0.017856533241052183,0.013358269534037357,0.5018796992481203
42,1,1,MLP,2020-10-01,2021-10-20,1405,266,0.2940661653696754,0.23156013074195558,0.4934210526315789
42,1,1,Random Forest,2020-10-01,2021-10-20,1405,266,0.01671218308501262,0.012451912669306616,0.49624060150375937
42,1,1,Diffusion,2020-10-01,2021-10-20,1405,266,0.43279845433844194,0.34345199883139843,0.48402255639097747
42,1,2,Random Walk,2021-06-25,2022-07-15,1589,266,0.017890793704001297,0.013228001755491292,0.008458646616541353
42,1,2,Historical Mean,2021-06-25,2022-07-15,1589,266,0.018045790365822836,0.013368438753133576,0.4924812030075188
42,1,2,AR Linear,2021-06-25,2022-07-15,1589,266,0.01796485421196864,0.013327999462181567,0.5112781954887218
42,1,2,Ridge,2021-06-25,2022-07-15,1589,266,0.018628554908308552,0.01394139998362541,0.5122180451127819
42,1,2,MLP,2021-06-25,2022-07-15,1589,266,0.25622205826037886,0.20233200509138188,0.5150375939849624
42,1,2,Random Forest,2021-06-25,2022-07-15,1589,266,0.018020584346889263,0.013329355838063866,0.48120300751879697
42,1,2,Diffusion,2021-06-25,2022-07-15,1589,266,1.1361228712393834,0.8995541843065179,0.49906015037593987
42,1,3,Random Walk,2022-03-17,2023-04-06,1772,266,0.019229357138784868,0.014661752025743977,0.0037593984962406013
42,1,3,Historical Mean,2022-03-17,2023-04-06,1772,266,0.01953044024156759,0.014907827556557725,0.4849624060150376
42,1,3,AR Linear,2022-03-17,2023-04-06,1772,266,0.019484749126053996,0.014940489883837782,0.49624060150375937
42,1,3,Ridge,2022-03-17,2023-04-06,1772,266,0.01998211361119598,0.01541621938610032,0.48778195488721804
42,1,3,MLP,2022-03-17,2023-04-06,1772,266,0.30489720868995235,0.23683031761068304,0.48402255639097747
